# aggregate-interference-1-cluster-0.25-TDD
x,y
-168.00729867278858,0.0001
-167.90121578434562,0.0001
-167.7951328959027,0.0001
-167.68905000745974,0.0001
-167.58296711901679,0.0001
-167.47688423057386,0.0001
-167.3708013421309,0.0001
-167.26471845368798,0.0001
-167.15863556524502,0.0001
-167.05255267680207,0.0001
-166.94646978835914,0.0001
-166.84038689991618,0.0002
-166.73430401147323,0.0002
-166.6282211230303,0.0002
-166.52213823458735,0.0002
-166.4160553461444,0.0002
-166.30997245770146,0.0002
-166.2038895692585,0.0003
-166.09780668081558,0.0003
-165.99172379237262,0.0005
-165.88564090392967,0.0005
-165.77955801548674,0.0006
-165.6734751270438,0.0007
-165.56739223860083,0.0007
-165.4613093501579,0.0009
-165.35522646171495,0.0009
-165.24914357327202,0.001
-165.14306068482907,0.0011
-165.0369777963861,0.0011
-164.93089490794318,0.0011
-164.82481201950023,0.0012
-164.71872913105727,0.0012
-164.61264624261435,0.0013
-164.5065633541714,0.0014
-164.40048046572844,0.0014
-164.2943975772855,0.0015
-164.18831468884255,0.0015
-164.08223180039963,0.0016
-163.97614891195667,0.0017
-163.87006602351371,0.0019
-163.7639831350708,0.0021
-163.65790024662783,0.0023
-163.55181735818488,0.0028
-163.44573446974195,0.0029
-163.339651581299,0.0031
-163.23356869285604,0.0035
-163.1274858044131,0.0038
-163.02140291597016,0.0042
-162.91532002752723,0.0048
-162.80923713908427,0.005
-162.70315425064132,0.0052
-162.5970713621984,0.0055
-162.49098847375544,0.006
-162.38490558531248,0.0066
-162.27882269686955,0.007
-162.1727398084266,0.0074
-162.06665691998364,0.0079
-161.96057403154072,0.0083
-161.85449114309776,0.0085
-161.74840825465483,0.009
-161.64232536621188,0.0094
-161.53624247776892,0.0102
-161.430159589326,0.0107
-161.32407670088304,0.0112
-161.21799381244008,0.012
-161.11191092399716,0.0126
-161.0058280355542,0.0132
-160.89974514711125,0.0143
-160.79366225866832,0.0151
-160.68757937022536,0.0157
-160.58149648178244,0.0167
-160.47541359333948,0.0176
-160.36933070489653,0.0185
-160.2632478164536,0.0194
-160.15716492801064,0.0204
-160.0510820395677,0.0212
-159.94499915112476,0.0223
-159.8389162626818,0.0234
-159.73283337423885,0.0252
-159.62675048579592,0.027
-159.52066759735297,0.0285
-159.41458470891004,0.0295
-159.3085018204671,0.0306
-159.20241893202413,0.0318
-159.0963360435812,0.0334
-158.99025315513825,0.0348
-158.8841702666953,0.0365
-158.77808737825237,0.038
-158.6720044898094,0.0391
-158.56592160136648,0.0409
-158.45983871292353,0.0424
-158.35375582448057,0.0442
-158.24767293603765,0.046
-158.1415900475947,0.0475
-158.03550715915173,0.05
-157.9294242707088,0.0514
-157.82334138226585,0.0538
-157.7172584938229,0.0551
-157.61117560537997,0.0569
-157.505092716937,0.0593
-157.39900982849406,0.0625
-157.29292694005113,0.0659
-157.18684405160818,0.0698
-157.08076116316525,0.0721
-156.9746782747223,0.0764
-156.86859538627934,0.0802
-156.7625124978364,0.0827
-156.65642960939346,0.0867
-156.5503467209505,0.0916
-156.44426383250757,0.0957
-156.33818094406462,0.0995
-156.2320980556217,0.1035
-156.12601516717874,0.1067
-156.01993227873578,0.1109
-155.91384939029285,0.1167
-155.8077665018499,0.1212
-155.70168361340694,0.1265
-155.59560072496402,0.1322
-155.48951783652106,0.1385
-155.3834349480781,0.1446
-155.27735205963518,0.1521
-155.17126917119222,0.1578
-155.0651862827493,0.167
-154.95910339430634,0.1736
-154.85302050586338,0.1799
-154.74693761742046,0.1864
-154.6408547289775,0.1933
-154.53477184053455,0.2005
-154.42868895209162,0.2105
-154.32260606364866,0.2218
-154.21652317520574,0.2301
-154.11044028676278,0.2418
-154.00435739831983,0.253
-153.8982745098769,0.2647
-153.79219162143394,0.277
-153.686108732991,0.2914
-153.58002584454806,0.3048
-153.4739429561051,0.3212
-153.36786006766215,0.3377
-153.26177717921922,0.3514
-153.15569429077627,0.3686
-153.0496114023333,0.386
-152.94352851389039,0.4055
-152.83744562544743,0.4247
-152.7313627370045,0.4447
-152.62527984856155,0.4656
-152.5191969601186,0.4886
-152.41311407167566,0.5109
-152.3070311832327,0.5314
-152.20094829478975,0.554
-152.09486540634683,0.5783
-151.98878251790387,0.5984
-151.88269962946094,0.6192
-151.776616741018,0.643
-151.67053385257503,0.6683
-151.5644509641321,0.692
-151.45836807568915,0.7121
-151.3522851872462,0.7324
-151.24620229880327,0.7537
-151.1401194103603,0.7732
-151.03403652191736,0.7927
-150.92795363347443,0.8123
-150.82187074503148,0.8314
-150.71578785658852,0.8456
-150.6097049681456,0.863
-150.50362207970264,0.8783
-150.3975391912597,0.8887
-150.29145630281675,0.9027
-150.1853734143738,0.9156
-150.07929052593087,0.9273
-149.97320763748792,0.9377
-149.867124749045,0.9474
-149.76104186060203,0.9542
-149.65495897215908,0.9617
-149.54887608371615,0.9667
-149.4427931952732,0.9718
-149.33671030683024,0.9755
-149.23062741838731,0.9794
-149.12454452994436,0.9835
-149.0184616415014,0.9859
-148.91237875305848,0.989
-148.80629586461552,0.9911
-148.70021297617257,0.9931
-148.59413008772964,0.9941
-148.48804719928668,0.995
-148.38196431084376,0.9959
-148.2758814224008,0.9967
-148.16979853395785,0.9973
-148.06371564551492,0.9979
-147.95763275707196,0.9981
-147.851549868629,0.9983
-147.74546698018608,0.9986
-147.63938409174312,0.999
-147.5333012033002,0.9994
-147.42721831485724,0.9997
-147.3211354264143,0.9997
-147.21505253797136,0.9999
-147.1089696495284,0.9999
-147.00288676108545,0.9999
-146.89680387264252,1.0
