# aggregate-interference-1-cluster-0.25-TDD
x,y
-168.47315230033138,0.0001
-168.37219771472385,0.0001
-168.27124312911636,0.0001
-168.17028854350883,0.0001
-168.0693339579013,0.0001
-167.9683793722938,0.0001
-167.86742478668629,0.0001
-167.76647020107876,0.0001
-167.66551561547126,0.0001
-167.56456102986374,0.0001
-167.46360644425621,0.0001
-167.36265185864872,0.0001
-167.2616972730412,0.0001
-167.16074268743367,0.0001
-167.05978810182614,0.0001
-166.95883351621865,0.0001
-166.85787893061112,0.0001
-166.7569243450036,0.0001
-166.6559697593961,0.0002
-166.55501517378858,0.0002
-166.45406058818105,0.0004
-166.35310600257355,0.0004
-166.25215141696603,0.0005
-166.1511968313585,0.0006
-166.050242245751,0.0006
-165.94928766014348,0.0007
-165.84833307453596,0.0007
-165.74737848892846,0.0007
-165.64642390332094,0.0009
-165.5454693177134,0.001
-165.44451473210592,0.0011
-165.3435601464984,0.0015
-165.24260556089087,0.0015
-165.14165097528337,0.0015
-165.04069638967584,0.0016
-164.93974180406832,0.0017
-164.83878721846082,0.0018
-164.7378326328533,0.0018
-164.63687804724577,0.0021
-164.53592346163825,0.0021
-164.43496887603075,0.0023
-164.33401429042323,0.0023
-164.2330597048157,0.0025
-164.1321051192082,0.003
-164.03115053360068,0.0037
-163.93019594799316,0.0038
-163.82924136238566,0.0041
-163.72828677677813,0.0043
-163.6273321911706,0.0047
-163.5263776055631,0.0051
-163.4254230199556,0.0052
-163.32446843434806,0.0056
-163.22351384874057,0.0063
-163.12255926313304,0.0067
-163.02160467752552,0.0071
-162.92065009191802,0.0075
-162.8196955063105,0.0081
-162.71874092070297,0.0085
-162.61778633509547,0.0096
-162.51683174948795,0.0106
-162.41587716388042,0.0114
-162.3149225782729,0.0121
-162.2139679926654,0.0131
-162.11301340705788,0.0136
-162.01205882145035,0.0143
-161.91110423584286,0.0152
-161.81014965023533,0.016
-161.7091950646278,0.0165
-161.6082404790203,0.0172
-161.50728589341279,0.0181
-161.40633130780526,0.0188
-161.30537672219776,0.02
-161.20442213659024,0.0211
-161.1034675509827,0.0219
-161.00251296537522,0.0228
-160.9015583797677,0.024
-160.80060379416017,0.0256
-160.69964920855267,0.0267
-160.59869462294515,0.028
-160.49774003733762,0.03
-160.39678545173012,0.0315
-160.2958308661226,0.0337
-160.19487628051507,0.0349
-160.09392169490758,0.0366
-159.99296710930005,0.0385
-159.89201252369253,0.0399
-159.79105793808503,0.042
-159.6901033524775,0.0443
-159.58914876686998,0.0467
-159.48819418126246,0.0488
-159.38723959565496,0.0511
-159.28628501004744,0.053
-159.1853304244399,0.0554
-159.08437583883241,0.0592
-158.9834212532249,0.0608
-158.88246666761736,0.064
-158.78151208200987,0.0659
-158.68055749640234,0.0686
-158.57960291079482,0.0707
-158.47864832518732,0.074
-158.3776937395798,0.0775
-158.27673915397227,0.0811
-158.17578456836478,0.0839
-158.07482998275725,0.0875
-157.97387539714973,0.0915
-157.87292081154223,0.0953
-157.7719662259347,0.0997
-157.67101164032718,0.1029
-157.57005705471968,0.1062
-157.46910246911216,0.1094
-157.36814788350463,0.1136
-157.2671932978971,0.1178
-157.1662387122896,0.1224
-157.0652841266821,0.1269
-156.96432954107456,0.1315
-156.86337495546707,0.1356
-156.76242036985954,0.1392
-156.66146578425202,0.1433
-156.56051119864452,0.1473
-156.459556613037,0.1508
-156.35860202742947,0.1554
-156.25764744182197,0.1595
-156.15669285621445,0.1641
-156.05573827060692,0.1689
-155.95478368499943,0.1735
-155.8538290993919,0.1759
-155.75287451378438,0.1796
-155.65191992817688,0.1841
-155.55096534256936,0.1881
-155.45001075696183,0.1918
-155.34905617135433,0.1956
-155.2481015857468,0.1999
-155.14714700013928,0.2033
-155.0461924145318,0.207
