# Results collected after 100 snapshots.
x,y
-101.26739972425645,0.01
-101.22899357167304,0.01
-101.19058741908965,0.01
-101.15218126650625,0.01
-101.11377511392286,0.01
-101.07536896133945,0.01
-101.03696280875604,0.01
-100.99855665617265,0.01
-100.96015050358925,0.01
-100.92174435100586,0.01
-100.88333819842245,0.01
-100.84493204583906,0.01
-100.80652589325565,0.01
-100.76811974067225,0.01
-100.72971358808886,0.01
-100.69130743550545,0.01
-100.65290128292206,0.01
-100.61449513033865,0.01
-100.57608897775525,0.01
-100.53768282517186,0.01
-100.49927667258845,0.01
-100.46087052000506,0.01
-100.42246436742165,0.01
-100.38405821483825,0.01
-100.34565206225486,0.01
-100.30724590967145,0.01
-100.26883975708806,0.01
-100.23043360450465,0.01
-100.19202745192125,0.01
-100.15362129933786,0.01
-100.11521514675445,0.01
-100.07680899417106,0.01
-100.03840284158765,0.01
-99.99999668900426,0.01
-99.96159053642086,0.01
-99.92318438383745,0.01
-99.88477823125406,0.01
-99.84637207867065,0.01
-99.80796592608726,0.01
-99.76955977350386,0.01
-99.73115362092045,0.01
-99.69274746833706,0.01
-99.65434131575365,0.01
-99.61593516317026,0.01
-99.57752901058686,0.01
-99.53912285800345,0.01
-99.50071670542006,0.01
-99.46231055283666,0.01
-99.42390440025326,0.01
-99.38549824766986,0.01
-99.34709209508645,0.02
-99.30868594250306,0.02
-99.27027978991966,0.02
-99.23187363733626,0.02
-99.19346748475286,0.02
-99.15506133216947,0.02
-99.11665517958606,0.02
-99.07824902700266,0.02
-99.03984287441926,0.02
-99.00143672183586,0.02
-98.96303056925247,0.02
-98.92462441666906,0.02
-98.88621826408566,0.03
-98.84781211150226,0.04
-98.80940595891886,0.04
-98.77099980633547,0.04
-98.73259365375206,0.04
-98.69418750116866,0.04
-98.65578134858526,0.04
-98.61737519600186,0.04
-98.57896904341847,0.05
-98.54056289083506,0.05
-98.50215673825167,0.05
-98.46375058566827,0.05
-98.42534443308486,0.05
-98.38693828050147,0.05
-98.34853212791806,0.05
-98.31012597533467,0.06
-98.27171982275127,0.06
-98.23331367016786,0.08
-98.19490751758447,0.08
-98.15650136500106,0.08
-98.11809521241767,0.09
-98.07968905983427,0.09
-98.04128290725086,0.09
-98.00287675466747,0.09
-97.96447060208406,0.12
-97.92606444950067,0.14
-97.88765829691727,0.14
-97.84925214433386,0.14
-97.81084599175047,0.15
-97.77243983916706,0.15
-97.73403368658367,0.15
-97.69562753400027,0.16
-97.65722138141687,0.16
-97.61881522883347,0.17
-97.58040907625006,0.19
-97.54200292366667,0.2
-97.50359677108327,0.2
-97.46519061849988,0.2
-97.42678446591647,0.2
-97.38837831333306,0.21
-97.34997216074967,0.21
-97.31156600816627,0.22
-97.27315985558288,0.24
-97.23475370299947,0.24
-97.19634755041608,0.25
-97.15794139783267,0.26
-97.11953524524927,0.28
-97.08112909266588,0.29
-97.04272294008247,0.3
-97.00431678749908,0.3
-96.96591063491567,0.33
-96.92750448233227,0.33
-96.88909832974888,0.33
-96.85069217716547,0.33
-96.81228602458208,0.34
-96.77387987199867,0.35
-96.73547371941527,0.37
-96.69706756683188,0.38
-96.65866141424847,0.38
-96.62025526166508,0.39
-96.58184910908167,0.39
-96.54344295649827,0.39
-96.50503680391488,0.4
-96.46663065133147,0.4
-96.42822449874808,0.4
-96.38981834616467,0.41
-96.35141219358127,0.41
-96.31300604099788,0.41
-96.27459988841447,0.41
-96.23619373583108,0.42
-96.19778758324767,0.46
-96.15938143066428,0.47
-96.12097527808088,0.47
-96.08256912549747,0.47
-96.04416297291408,0.49
-96.00575682033067,0.51
-95.96735066774728,0.52
-95.92894451516388,0.56
-95.89053836258047,0.57
-95.85213220999708,0.57
-95.81372605741367,0.57
-95.77531990483028,0.57
-95.73691375224688,0.59
-95.69850759966349,0.59
-95.66010144708008,0.6
-95.62169529449667,0.63
-95.58328914191328,0.66
-95.54488298932988,0.69
-95.50647683674649,0.7
-95.46807068416308,0.71
-95.42966453157968,0.72
-95.39125837899628,0.75
-95.35285222641288,0.78
-95.31444607382949,0.79
-95.27603992124608,0.79
-95.23763376866268,0.82
-95.19922761607928,0.82
-95.16082146349588,0.82
-95.12241531091249,0.83
-95.08400915832908,0.84
-95.04560300574568,0.85
-95.00719685316228,0.87
-94.96879070057888,0.88
-94.93038454799549,0.88
-94.89197839541208,0.89
-94.85357224282868,0.89
-94.81516609024528,0.9
-94.77675993766188,0.9
-94.73835378507849,0.9
-94.69994763249508,0.91
-94.66154147991169,0.92
-94.62313532732828,0.93
-94.58472917474488,0.95
-94.54632302216149,0.95
-94.50791686957808,0.96
-94.46951071699469,0.96
-94.43110456441129,0.96
-94.39269841182788,0.96
-94.35429225924449,0.96
-94.31588610666108,0.96
-94.27747995407769,0.96
-94.23907380149429,0.96
-94.2006676489109,0.97
-94.16226149632749,0.97
-94.12385534374408,0.97
-94.08544919116069,0.97
-94.04704303857729,0.98
-94.0086368859939,0.98
-93.97023073341049,0.98
-93.93182458082708,0.98
-93.89341842824369,0.98
-93.85501227566029,0.98
-93.8166061230769,0.98
-93.77819997049349,0.98
-93.73979381791008,0.98
-93.70138766532669,0.98
-93.66298151274329,0.98
-93.6245753601599,1.0
