# Results collected after 10000 snapshots.
x,y
-312.86420887505847,0.0001
-312.407125203696,0.0001
-311.9500415323336,0.0001
-311.49295786097116,0.0001
-311.0358741896087,0.0001
-310.57879051824625,0.0001
-310.12170684688385,0.0002
-309.6646231755214,0.0002
-309.20753950415894,0.0002
-308.7504558327965,0.0002
-308.2933721614341,0.0002
-307.83628849007164,0.0004
-307.3792048187092,0.0007
-306.92212114734673,0.0007
-306.46503747598433,0.0009
-306.0079538046219,0.0012
-305.5508701332594,0.0013
-305.093786461897,0.0019
-304.63670279053457,0.0022
-304.1796191191721,0.0026
-303.72253544780966,0.003
-303.26545177644726,0.0032
-302.8083681050848,0.0036
-302.35128443372236,0.0041
-301.8942007623599,0.0047
-301.4371170909975,0.0056
-300.98003341963505,0.0061
-300.5229497482726,0.0068
-300.0658660769102,0.0074
-299.60878240554774,0.0087
-299.1516987341853,0.0099
-298.69461506282283,0.0112
-298.23753139146044,0.0127
-297.780447720098,0.0144
-297.3233640487355,0.016
-296.8662803773731,0.0191
-296.4091967060107,0.0214
-295.9521130346482,0.0236
-295.49502936328577,0.0268
-295.03794569192337,0.0295
-294.5808620205609,0.0327
-294.12377834919846,0.0361
-293.666694677836,0.041
-293.2096110064736,0.0461
-292.75252733511115,0.0501
-292.2954436637487,0.0549
-291.83835999238624,0.0607
-291.38127632102385,0.0665
-290.9241926496614,0.0724
-290.46710897829894,0.0785
-290.01002530693654,0.0848
-289.5529416355741,0.0917
-289.09585796421163,0.0999
-288.6387742928492,0.108
-288.1816906214868,0.1178
-287.7246069501243,0.1258
-287.26752327876187,0.1346
-286.8104396073994,0.1447
-286.353355936037,0.1548
-285.89627226467456,0.1639
-285.4391885933121,0.1759
-284.98210492194966,0.1882
-284.52502125058726,0.1991
-284.0679375792248,0.2113
-283.61085390786235,0.224
-283.1537702364999,0.2382
-282.6966865651375,0.2529
-282.23960289377504,0.2643
-281.7825192224126,0.2784
-281.3254355510502,0.2905
-280.86835187968774,0.3039
-280.4112682083253,0.3166
-279.9541845369628,0.3317
-279.49710086560043,0.3471
-279.040017194238,0.3619
-278.5829335228755,0.3762
-278.12584985151307,0.3905
-277.66876618015067,0.4043
-277.2116825087882,0.4184
-276.75459883742576,0.4329
-276.29751516606336,0.4478
-275.8404314947009,0.4624
-275.38334782333845,0.4781
-274.926264151976,0.494
-274.4691804806136,0.508
-274.01209680925115,0.5234
-273.5550131378887,0.5384
-273.09792946652624,0.5517
-272.64084579516384,0.5657
-272.1837621238014,0.579
-271.72667845243893,0.5923
-271.26959478107653,0.6024
-270.8125111097141,0.6182
-270.3554274383516,0.6322
-269.89834376698917,0.6436
-269.4412600956268,0.656
-268.9841764242643,0.6693
-268.52709275290186,0.6817
-268.0700090815394,0.6921
-267.612925410177,0.7038
-267.15584173881456,0.7157
-266.6987580674521,0.7267
-266.2416743960897,0.7382
-265.78459072472725,0.7482
-265.3275070533648,0.7578
-264.87042338200234,0.7689
-264.41333971063995,0.7787
-263.9562560392775,0.7875
-263.49917236791504,0.7973
-263.0420886965526,0.8066
-262.5850050251902,0.8166
-262.12792135382773,0.8259
-261.6708376824653,0.8329
-261.2137540111029,0.8413
-260.7566703397404,0.8484
-260.29958666837797,0.8547
-259.8425029970155,0.8612
-259.38541932565306,0.8681
-258.92833565429066,0.875
-258.4712519829282,0.8828
-258.01416831156575,0.8884
-257.55708464020336,0.8934
-257.1000009688409,0.8998
-256.64291729747845,0.9055
-256.185833626116,0.9104
-255.7287499547536,0.9159
-255.27166628339114,0.9214
-254.8145826120287,0.9269
-254.35749894066626,0.9318
-253.90041526930383,0.9372
-253.44333159794138,0.9416
-252.98624792657893,0.9444
-252.5291642552165,0.9476
-252.07208058385407,0.9517
-251.61499691249162,0.9553
-251.1579132411292,0.9583
-250.70082956976674,0.9608
-250.2437458984043,0.9628
-249.78666222704186,0.9655
-249.32957855567943,0.9679
-248.872494884317,0.9708
-248.41541121295455,0.9732
-247.9583275415921,0.9759
-247.50124387022967,0.9781
-247.04416019886725,0.9801
-246.5870765275048,0.9817
-246.12999285614234,0.9828
-245.6729091847799,0.984
-245.21582551341749,0.9859
-244.75874184205503,0.9864
-244.3016581706926,0.9873
-243.84457449933018,0.9887
-243.38749082796772,0.9893
-242.93040715660527,0.9897
-242.47332348524284,0.9906
-242.01623981388042,0.9916
-241.55915614251796,0.9925
-241.1020724711555,0.9933
-240.64498879979308,0.9938
-240.18790512843066,0.9941
-239.7308214570682,0.9949
-239.27373778570578,0.9957
-238.81665411434335,0.9959
-238.3595704429809,0.996
-237.90248677161844,0.9961
-237.44540310025602,0.9965
-236.9883194288936,0.997
-236.53123575753114,0.9972
-236.07415208616868,0.9974
-235.61706841480625,0.9977
-235.15998474344383,0.9979
-234.70290107208137,0.9982
-234.24581740071892,0.9984
-233.78873372935652,0.9986
-233.33165005799407,0.9987
-232.8745663866316,0.9989
-232.4174827152692,0.999
-231.96039904390676,0.999
-231.5033153725443,0.9991
-231.04623170118185,0.9991
-230.58914802981943,0.9991
-230.132064358457,0.9991
-229.67498068709455,0.9992
-229.2178970157321,0.9992
-228.76081334436967,0.9992
-228.30372967300724,0.9993
-227.84664600164479,0.9995
-227.38956233028236,0.9995
-226.93247865891993,0.9995
-226.47539498755748,0.9995
-226.01831131619502,0.9996
-225.5612276448326,0.9996
-225.10414397347017,0.9997
-224.64706030210772,0.9997
-224.18997663074526,0.9997
-223.73289295938284,0.9998
-223.2758092880204,0.9998
-222.81872561665796,0.9998
-222.3616419452955,0.9999
-221.9045582739331,1.0
