# Results collected after 20 snapshots.
x,y
-140.80354673554916,0.05
-140.64460434078984,0.05
-140.48566194603052,0.05
-140.3267195512712,0.05
-140.16777715651187,0.05
-140.00883476175255,0.05
-139.84989236699323,0.05
-139.6909499722339,0.05
-139.53200757747456,0.05
-139.37306518271524,0.05
-139.21412278795592,0.05
-139.0551803931966,0.05
-138.89623799843727,0.05
-138.73729560367795,0.05
-138.57835320891863,0.05
-138.4194108141593,0.05
-138.26046841939998,0.05
-138.10152602464066,0.05
-137.94258362988134,0.05
-137.78364123512202,0.05
-137.6246988403627,0.05
-137.46575644560338,0.05
-137.30681405084405,0.05
-137.1478716560847,0.05
-136.98892926132538,0.05
-136.82998686656606,0.05
-136.67104447180674,0.05
-136.51210207704742,0.05
-136.3531596822881,0.05
-136.19421728752877,0.05
-136.03527489276945,0.05
-135.87633249801013,0.05
-135.7173901032508,0.05
-135.55844770849149,0.05
-135.39950531373216,0.05
-135.24056291897284,0.05
-135.08162052421352,0.05
-134.9226781294542,0.05
-134.76373573469485,0.05
-134.60479333993553,0.05
-134.4458509451762,0.05
-134.28690855041688,0.05
-134.12796615565756,0.05
-133.96902376089824,0.05
-133.81008136613892,0.05
-133.6511389713796,0.05
-133.49219657662027,0.05
-133.33325418186095,0.05
-133.17431178710163,0.05
-133.0153693923423,0.1
-132.856426997583,0.1
-132.69748460282366,0.1
-132.5385422080643,0.1
-132.379599813305,0.1
-132.22065741854567,0.1
-132.06171502378635,0.1
-131.90277262902703,0.1
-131.7438302342677,0.1
-131.58488783950838,0.1
-131.42594544474906,0.1
-131.26700304998974,0.1
-131.10806065523042,0.1
-130.9491182604711,0.1
-130.79017586571177,0.1
-130.63123347095245,0.1
-130.47229107619313,0.1
-130.3133486814338,0.1
-130.1544062866745,0.1
-129.99546389191514,0.1
-129.83652149715581,0.1
-129.6775791023965,0.1
-129.51863670763717,0.1
-129.35969431287785,0.1
-129.20075191811853,0.1
-129.0418095233592,0.1
-128.88286712859988,0.1
-128.72392473384056,0.1
-128.56498233908124,0.1
-128.40603994432192,0.15
-128.2470975495626,0.15
-128.08815515480327,0.15
-127.92921276004394,0.15
-127.77027036528462,0.15
-127.6113279705253,0.15
-127.45238557576597,0.15
-127.29344318100664,0.15
-127.13450078624732,0.15
-126.975558391488,0.15
-126.81661599672867,0.15
-126.65767360196935,0.2
-126.49873120721003,0.2
-126.3397888124507,0.2
-126.18084641769138,0.2
-126.02190402293206,0.2
-125.86296162817273,0.2
-125.7040192334134,0.2
-125.54507683865408,0.2
-125.38613444389476,0.2
-125.22719204913544,0.2
-125.06824965437612,0.2
-124.90930725961678,0.2
-124.75036486485746,0.25
-124.59142247009814,0.25
-124.43248007533882,0.25
-124.2735376805795,0.25
-124.11459528582017,0.25
-123.95565289106085,0.25
-123.79671049630153,0.25
-123.6377681015422,0.25
-123.47882570678287,0.25
-123.31988331202355,0.25
-123.16094091726423,0.25
-123.0019985225049,0.25
-122.84305612774558,0.3
-122.68411373298626,0.3
-122.52517133822693,0.3
-122.3662289434676,0.3
-122.20728654870828,0.3
-122.04834415394896,0.3
-121.88940175918964,0.3
-121.73045936443032,0.3
-121.571516969671,0.35
-121.41257457491167,0.35
-121.25363218015235,0.35
-121.09468978539302,0.35
-120.9357473906337,0.35
-120.77680499587437,0.35
-120.61786260111505,0.35
-120.45892020635573,0.35
-120.29997781159639,0.35
-120.14103541683707,0.35
-119.98209302207775,0.35
-119.82315062731843,0.35
-119.6642082325591,0.35
-119.50526583779978,0.35
-119.34632344304046,0.4
-119.18738104828114,0.4
-119.02843865352182,0.4
-118.8694962587625,0.45
-118.71055386400316,0.45
-118.55161146924384,0.5
-118.39266907448452,0.5
-118.2337266797252,0.5
-118.07478428496587,0.5
-117.91584189020654,0.5
-117.75689949544721,0.55
-117.59795710068789,0.6
-117.43901470592857,0.6
-117.28007231116925,0.65
-117.12112991640993,0.7
-116.9621875216506,0.7
-116.80324512689128,0.7
-116.64430273213196,0.7
-116.48536033737264,0.7
-116.3264179426133,0.7
-116.16747554785398,0.7
-116.00853315309466,0.7
-115.84959075833534,0.7
-115.69064836357602,0.7
-115.53170596881668,0.7
-115.37276357405736,0.75
-115.21382117929804,0.75
-115.05487878453872,0.75
-114.8959363897794,0.75
-114.73699399502007,0.75
-114.57805160026075,0.75
-114.41910920550143,0.75
-114.2601668107421,0.75
-114.10122441598277,0.8
-113.94228202122345,0.8
-113.78333962646413,0.8
-113.6243972317048,0.85
-113.46545483694548,0.85
-113.30651244218616,0.85
-113.14757004742683,0.85
-112.9886276526675,0.85
-112.82968525790818,0.85
-112.67074286314886,0.85
-112.51180046838954,0.85
-112.35285807363022,0.85
-112.1939156788709,0.85
-112.03497328411157,0.85
-111.87603088935225,0.9
-111.71708849459291,0.9
-111.55814609983359,0.95
-111.39920370507427,0.95
-111.24026131031495,0.95
-111.08131891555563,0.95
-110.9223765207963,0.95
-110.76343412603697,0.95
-110.60449173127765,0.95
-110.44554933651833,0.95
-110.286606941759,0.95
-110.12766454699968,0.95
-109.96872215224036,0.95
-109.80977975748104,0.95
-109.65083736272172,0.95
-109.4918949679624,0.95
-109.33295257320306,0.95
-109.17401017844374,1.0
