# Results collected after 100 snapshots.
x,y
0,-95.56717560778247
1,-96.38223974975324
2,-95.72209252541404
3,-95.90970486023596
4,-94.99557161705556
5,-93.5977911001317
6,-97.56119006922256
7,-96.1620067938147
8,-95.32685785458492
9,-96.13479226359291
10,-95.88172921584837
11,-95.56395523881935
12,-95.0929571304986
13,-94.89067072707022
14,-97.56089549509349
15,-93.58616920757649
16,-95.21043974098626
17,-96.23496749619687
18,-97.61826504537655
19,-95.61018643884955
20,-94.67629773482986
21,-95.05634512293528
22,-94.47135181509842
23,-95.58930983686994
24,-95.42383625028583
25,-95.64305966258945
26,-96.71882830969554
27,-95.36618916588208
28,-97.09911038761061
29,-98.87930304588926
30,-95.5138242040652
31,-97.26029589000757
32,-99.32728986104044
33,-101.26739972425645
34,-94.55036048625894
35,-96.02376544547374
36,-95.92608352320974
37,-96.95363742152071
38,-96.47641445316191
39,-95.89150026652692
40,-97.37971181809047
41,-97.95781107612876
42,-97.93803250192752
43,-96.70481114084512
44,-96.93928846187146
45,-95.4474778720878
46,-96.79276745636801
47,-97.07061183657396
48,-96.59541844625079
49,-94.63727265673265
50,-96.68603441238344
51,-98.81116070448525
52,-98.30357103916788
53,-98.56541502958868
54,-97.26264936336983
55,-95.00785532624283
56,-95.93549019945635
57,-95.49320264182302
58,-96.16625344481571
59,-94.55675709191155
60,-97.15639029081649
61,-95.98136141575955
62,-97.09842550320161
63,-95.57944572097009
64,-95.20137369348254
65,-98.19635256237535
66,-95.73071114523478
67,-95.32533313322563
68,-96.16873713645595
69,-95.38502834575365
70,-94.95053304212388
71,-94.20048541457041
72,-95.51794443254923
73,-98.08801188628223
74,-96.18133699062389
75,-95.3379966199492
76,-97.53340714420366
77,-97.92050618755164
78,-95.282656052952
79,-96.94860469646963
80,-98.21059058954327
81,-95.98387464592756
82,-97.90387403335833
83,-95.23758936688088
84,-95.37674804221166
85,-97.28293308469824
86,-94.97134372784319
87,-94.03685507454756
88,-97.66485558443438
89,-94.80577308786991
90,-94.61163035072238
91,-95.59752426902841
92,-97.80058607850853
93,-97.92679984203113
94,-95.8955929481549
95,-96.033532103102
96,-97.18105229146488
97,-96.77178451277018
98,-97.03842457241129
99,-95.52922270584429
