,SINR
0,-500.0
1,-500.0
2,-44.0846844163527
3,-37.37290733299113
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,-26.26879155011912
9,-500.0
10,-500.0
11,-500.0
12,-69.97870426841733
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,-20.499801183124262
21,-500.0
22,-33.831060842646394
23,-47.735231537381
24,-43.59833674101776
25,-500.0
26,-42.34559694006053
27,-500.0
28,-500.0
29,-7.616789942501541
30,-500.0
31,-34.39606496256003
32,-500.0
33,-500.0
34,-500.0
35,-24.30442041214897
36,-19.802146263979353
37,-500.0
38,-500.0
39,-500.0
40,-500.0
41,-500.0
42,-26.200020441720397
43,-500.0
44,-500.0
45,-36.1300976640627
46,-500.0
47,-500.0
48,-500.0
49,-49.86198887169367
50,-500.0
51,-500.0
52,-500.0
53,-7.722573283528945
54,-500.0
55,-500.0
56,-500.0
