,SNR
0,-500.0
1,-500.0
2,inf
3,inf
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,inf
9,-500.0
10,-500.0
11,-500.0
12,inf
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,inf
21,-500.0
22,inf
23,inf
24,inf
25,-500.0
26,inf
27,-500.0
28,-500.0
29,inf
30,-500.0
31,inf
32,-500.0
33,-500.0
34,-500.0
35,inf
36,inf
37,-500.0
38,-500.0
39,-500.0
40,-500.0
41,-500.0
42,inf
43,-500.0
44,-500.0
45,inf
46,-500.0
47,-500.0
48,-500.0
49,inf
50,-500.0
51,-500.0
52,-500.0
53,inf
54,-500.0
55,-500.0
56,-500.0
